POS;ST‹CK;DURCHM;LƒNGE;GEWICHT;
RND_01_Bodenplatte;;;;;
Plan:P5_15085-02_T_08_440_BW_EUB_00;;;;;
Plan:P5_15085-02_T_08_441_BW_EUB_00;;;;;
13;3;14;3,80;13,79;
14;2;14;2,85;6,90;
15;6;16;11,85;112,34;
16;4;14;2,00;9,68;
17;1;14;2,53;3,06;
18;1;14;2,29;2,77;
19;1;14;1,96;2,37;
20;3;14;2,35;8,53;
21;6;14;3,16;22,94;
23;118;14;2,64;376,94;
24;236;14;3,04;868,10;
26;14;14;4,65;78,77;
29;103;16;13,45;2188,85;
31;79;16;3,20;399,42;
32;159;14;2,00;384,78;
33;254;12;2,67;602,22;
34;68;12;2,72;164,24;
35;64;12;2,22;126,17;
36;38;16;2,40;144,10;
38;3;8;1,50;1,78;
39;3;20;10,50;77,81;
40;6;20;8,00;118,56;
43;11;25;12,00;508,20;
44;7;16;9,60;106,18;
45;68;20;3,75;629,85;
46;35;20;6,90;596,51;
47;26;20;2,90;186,24;
48;79;16;7,85;979,84;
49;40;16;4,70;297,04;
50;121;16;13,80;2638,28;
51;31;16;11,75;575,52;
52;11;16;8,75;152,08;
55;27;12;1,25;29,97;
56;5;20;11,85;146,35;
57;5;20;5,00;61,75;
58;28;12;1,47;36,55;
59;18;16;2,20;62,57;
60;24;14;2,00;58,08;
61;4;12;1,40;4,97;
63;8;14;12,70;122,94;
64;7;16;9,80;108,39;
112;VE;12;250,00;222,00;
201;13;14;0,90;14,16;
22;101;14;3,10;378,85;
25;17;14;2,80;57,60;
27;5;14;3,90;23,60;
28;32;14;3,28;127,00;
30;97;16;6,10;934,89;
37;36;12;1,65;52,75;
62;6;16;2,15;20,38;
65;470;14;1,70;966,79;
3;21;16;4,05;134,38;
4;45;16;1,80;127,98;
41;113;16;10,60;1892,52;
42;96;16;7,35;1114,85;
53;29;16;7,75;355,11;
54;15;16;11,70;277,29;
8;74;12;3,26;214,22;
66;11;14;2,50;33,28;
202;10;20;1,50;37,05;
203;24;16;1,25;47,40;
Plan:P5_15085-02_T_08_447_BW_EUB_00;;;;;
1;48;16;4,11;311,70;
2;48;16;6,61;501,30;
3;27;16;6,91;294,78;
4;16;16;3,51;88,73;
5;14;16;6,50;143,78;
6;13;16;4,00;82,16;
7;96;16;11,20;1698,82;
8;21;16;2,18;72,33;
9;87;16;12,00;1649,52;
10;41;16;8,75;566,83;
11;56;16;7,00;619,36;
12;44;16;3,75;260,70;
13;14;14;14,00;237,16;
14;108;16;3,20;546,05;
15;265;14;2,00;641,30;
16;14;16;2,60;57,51;
17;18;12;1,70;27,17;
18;173;12;2,67;410,18;
19;74;14;3,17;283,84;
20;13;16;4,07;83,60;
21;3;20;12,50;92,63;
22;3;20;10,00;74,10;
23;3;20;11,75;87,07;
24;3;20;9,50;70,40;
25;8;20;8,00;158,08;
26;3;12;2,18;5,81;
27;28;10;2,10;36,28;
28;5;20;9,85;121,65;
29;197;16;9,35;2910,28;
30;119;16;8,25;1551,17;
31;21;16;6,65;220,65;
32;116;16;7,75;1420,42;
33;20;16;4,90;154,84;
34;20;16;11,75;371,30;
35;41;16;8,90;576,54;
36;76;16;6,00;720,48;
37;51;16;4,50;362,61;
38;48;16;2,50;189,60;
39;22;16;6,05;210,30;
40;91;12;2,18;176,16;
41;16;14;3,25;62,92;
42;20;14;1,75;42,35;
43;32;16;2,00;101,12;
44;8;12;1,39;9,87;
45;12;12;1,37;14,60;
46;54;14;1,70;111,08;
47;261;14;1,54;486,35;
48;119;14;1,50;215,99;
49;9;20;3,75;83,36;
50;24;12;1,25;26,64;
51;13;14;1,68;26,43;
52;8;12;2,50;17,76;
112;VE;12;350,00;310,80;
201;10;16;1,25;19,75;
202;8;20;1,50;29,64;
Plan:P5_15085-02_T_08_448_BW_EUB_00_T1;;;;;
1;23;16;12,25;445,17;
2;14;16;8,80;194,66;
3;12;16;4,50;85,32;
4;27;16;7,00;298,62;
5;22;20;3,94;214,10;
6;11;20;5,28;143,46;
7;10;20;10,78;266,27;
8;11;20;11,91;323,59;
9;10;20;6,41;158,33;
10;2;16;12,50;39,50;
11;2;16;3,25;10,27;
12;2;16;3,40;10,74;
13;48;16;5,65;428,50;
14;60;16;6,98;661,70;
15;22;16;4,68;162,68;
16;77;14;3,38;314,91;
17;8;14;2,80;27,10;
18;20;14;5,67;137,21;
19;29;14;4,35;152,64;
20;32;16;2,70;136,51;
21;33;16;3,40;177,28;
22;6;14;6,00;43,56;
23;153;14;2,48;459,12;
24;306;14;2,88;1066,35;
25;167;16;3,20;844,35;
26;160;14;2,00;387,20;
27;5;14;8,50;51,43;
28;5;14;3,75;22,69;
29;5;14;3,00;18,15;
30;10;14;2,50;30,25;
31;3;20;5,00;37,05;
32;3;20;8,00;59,28;
33;29;12;2,87;73,91;
34;70;14;3,27;276,97;
35;32;12;3,37;95,76;
36;7;16;4,07;45,01;
37;12;16;14,00;265,44;
38;5;16;4,65;36,74;
39;52;16;12,40;1018,78;
40;37;16;3,05;178,30;
41;22;25;9,25;783,48;
42;11;25;3,50;148,23;
43;71;20;3,75;657,64;
44;57;20;6,90;971,45;
45;53;16;7,00;586,18;
46;45;16;4,10;291,51;
47;18;16;5,30;150,73;
48;9;16;2,40;34,13;
49;26;16;3,70;152,00;
50;8;14;8,50;82,28;
51;8;14;3,65;35,33;
52;8;14;4,00;38,72;
53;16;14;3,00;58,08;
54;8;14;6,80;65,82;
55;78;12;2,20;152,38;
56;31;12;2,18;60,01;
57;12;14;1,50;21,78;
58;10;14;1,80;21,78;
59;12;16;1,65;31,28;
60;5;16;2,00;15,80;
61;20;12;1,40;24,86;
62;4;16;2,80;17,70;
63;2;16;5,20;16,43;
64;2;16;12,50;39,50;
65;4;16;10,50;66,36;
66;142;14;1,52;261,17;
67;9;14;1,64;17,86;
112;VE;12;180,00;159,84;
68;31;12;2,82;77,63;
40;30;16;3,05;144,57;
