POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_450_BW_U2_00;;;;;
Plan:P5_15085-02_T_08_451_BW_U2_00;;;;;
21;22;12;3,60;70,33;
22;41;12;5,22;190,05;
23;24;10;5,40;79,96;
24;8;16;5,50;69,52;
25;30;10;1,77;32,76;
26;74;10;1,80;82,18;
27;6;10;3,95;14,62;
28;116;10;4,25;304,18;
29;39;8;0,47;7,24;
30;54;10;2,05;68,30;
31;16;10;1,20;11,85;
32;2;14;1,80;4,36;
33;16;14;1,40;27,10;
34;30;12;1,87;49,82;
35;40;8;0,42;6,64;
36;3;10;1,25;2,31;
37;40;12;1,32;46,89;
38;16;12;1,62;23,02;
201;12;16;3,60;68,26;
Plan:P5_15085-02_T_08_460_BW_U2_01;;;;;
201;8;16;2,00;25,28;
202;12;16;3,60;68,26;
1;68;12;4,35;262,67;
2;34;12;1,85;55,86;
3;58;12;4,25;218,89;
4;16;14;4,55;88,09;
5;30;12;2,02;53,81;
6;40;8;0,47;7,43;
7;8;12;1,27;9,02;
8;7;12;4,26;26,48;
9;84;10;4,25;220,27;
10;42;10;1,77;45,87;
11;16;14;3,80;73,57;
12;34;10;6,85;143,70;
13;34;10;8,40;176,22;
14;38;10;1,30;30,48;
15;14;14;1,40;23,72;
16;18;14;1,80;39,20;
17;12;10;1,27;9,40;
18;20;16;3,60;113,76;
19;20;10;2,80;34,55;
20;30;10;4,50;83,29;
21;19;12;1,32;22,27;
22;30;12;5,35;142,52;
23;4;14;5,50;26,62;
24;14;12;2,60;32,32;
25;4;14;2,40;11,62;
26;22;10;2,04;27,69;
27;30;10;1,35;24,99;
28;28;10;5,30;91,56;
29;35;8;3,65;50,46;
30;75;8;1,75;51,84;
31;18;10;1,72;19,10;
32;4;14;5,30;25,65;
33;14;8;1,52;8,41;
34;14;10;3,42;29,54;
35;8;14;1,90;18,39;
36;14;8;1,25;6,91;
37;40;8;1,70;26,86;
38;6;10;0,90;3,33;
Plan:P5_15085-02_T_08_461_BW_U2_01;;;;;
1;4;14;4,55;22,02;
2;114;12;4,30;435,30;
3;77;12;1,85;126,50;
4;56;12;10,45;519,66;
5;12;12;8,50;90,58;
6;57;12;2,02;102,24;
7;12;14;5,45;79,13;
8;16;14;2,85;55,18;
9;5;12;2,65;11,77;
10;14;12;3,50;43,51;
11;7;12;1,32;8,21;
12;7;12;2,82;17,53;
13;50;8;0,47;9,28;
14;6;10;0,99;3,66;
15;5;16;6,20;48,98;
16;14;14;4,30;72,84;
17;30;10;2,20;40,72;
18;18;10;2,34;25,99;
19;24;10;2,75;40,72;
20;8;12;3,08;21,88;
21;12;12;1,26;13,43;
22;8;14;1,40;13,55;
23;3;10;1,30;2,41;
24;8;12;3,95;28,06;
25;14;12;1,88;23,37;
26;10;8;0,42;1,66;
27;86;12;2,75;210,01;
28;4;12;2,00;7,10;
29;18;10;4,30;47,76;
30;18;10;5,35;59,42;
31;7;10;1,93;8,34;
Plan:P5_15085-02_T_08_462_BW_U2_00;;;;;
1;18;14;4,55;99,10;
2;162;10;4,30;429,80;
3;98;10;1,70;102,79;
4;58;10;4,15;148,51;
5;17;10;1,30;13,64;
6;8;14;4,30;41,62;
7;34;10;3,15;66,08;
8;17;10;2,90;30,42;
9;66;10;5,75;234,15;
10;94;10;1,78;103,24;
11;25;10;1,27;19,59;
12;4;12;3,60;12,79;
13;8;10;3,08;15,20;
14;4;14;3,00;14,52;
15;8;12;8,35;59,32;
16;5;12;2,20;9,77;
17;4;16;3,70;23,38;
18;6;10;1,75;6,48;
19;24;12;2,28;48,59;
20;50;10;2,10;64,79;
21;4;14;1,55;7,50;
22;8;14;2,00;19,36;
23;6;10;1,30;4,81;
24;21;10;1,52;19,69;
25;50;8;0,42;8,30;
26;56;10;2,25;77,74;
27;4;20;8,35;82,50;
28;5;10;0,94;2,90;
29;8;12;1,28;9,09;
201;10;20;2,70;66,69;
202;10;16;1,75;27,65;
Plan:P5_15085-02_T_08_463_BW_U2_00_T1;;;;;
2;46;12;5,00;204,24;
3;76;10;3,40;159,43;
4;216;10;1,75;233,23;
6;246;12;5,70;1245,15;
7;90;12;2,35;187,81;
8;35;12;2,93;91,06;
9;6;12;4,33;23,07;
10;72;10;2,30;102,18;
11;20;10;4,60;56,76;
12;56;10;8,25;285,05;
13;8;16;2,50;31,60;
14;26;10;2,20;35,29;
15;42;10;8,75;226,75;
17;4;16;2,50;15,80;
18;4;20;7,50;74,10;
19;8;20;4,00;79,04;
20;13;10;1,18;9,46;
21;37;10;9,75;222,58;
22;72;10;0,93;41,31;
23;105;8;0,47;19,49;
16;34;10;1,50;31,47;
24;36;12;1,50;47,95;
5;58;14;5,70;400,03;
25;6;16;5,70;54,04;
1;12;14;6,00;87,12;
26;4;16;6,25;39,50;
12;70;10;8,25;356,32;
Plan:P5_15085-02_T_08_464_BW_U2_01;;;;;
201;3;14;0,51;1,85;
1;38;14;5,80;266,68;
2;4;14;4,70;22,75;
3;86;12;5,50;420,02;
4;18;12;4,55;72,73;
